"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","pdays_status","pdays_clean","age_group","balance_group","cluster","gmm_cluster"
51,"blue-collar","married","tertiary","no",2404,"yes","no","telephone",20,"nov",30,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
30,"technician","married","secondary","no",776,"no","no","cellular",30,"apr",861,2,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","4","2"
38,"blue-collar","married","unknown","no",5830,"no","no","unknown",17,"jun",176,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
36,"self-employed","single","secondary","no",15,"no","no","cellular",18,"nov",186,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
56,"blue-collar","married","primary","no",1214,"no","yes","cellular",7,"aug",105,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
31,"self-employed","single","tertiary","no",96,"no","no","cellular",5,"feb",577,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
31,"services","married","secondary","no",447,"no","no","cellular",19,"mar",220,3,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","1","2"
47,"management","married","tertiary","no",2820,"no","no","unknown",20,"jun",92,3,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
47,"housemaid","married","secondary","no",2524,"no","no","cellular",12,"oct",105,1,-1,0,"unknown","yes","Not Contacted",NA,"40-50","1K-5K","5","1"
30,"technician","single","unknown","no",766,"no","no","cellular",30,"apr",296,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
37,"admin.","married","secondary","no",0,"no","yes","unknown",19,"jun",176,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
36,"management","single","tertiary","no",7252,"no","no","cellular",12,"aug",153,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
56,"housemaid","married","secondary","no",619,"yes","no","telephone",21,"jul",65,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
40,"services","divorced","secondary","no",0,"no","no","unknown",21,"may",111,4,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
35,"management","single","tertiary","no",2749,"no","no","cellular",13,"may",127,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
36,"management","married","tertiary","no",96,"no","no","cellular",30,"jul",729,4,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","4","2"
38,"management","single","tertiary","no",8669,"yes","no","telephone",20,"apr",5,3,150,6,"failure","no","Contacted",150,"30-40","5K-10K","3","4"
52,"retired","married","secondary","no",414,"no","no","cellular",28,"jan",207,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
35,"entrepreneur","married","tertiary","no",0,"no","no","cellular",18,"nov",150,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
29,"management","single","tertiary","no",1566,"yes","no","unknown",4,"jun",233,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","1","2"
41,"management","married","tertiary","no",3831,"yes","no","cellular",7,"aug",243,7,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
36,"management","divorced","tertiary","no",1057,"no","no","cellular",19,"jul",230,2,164,2,"failure","yes","Contacted",164,"30-40","1K-5K","1","3"
31,"self-employed","single","secondary","no",762,"no","no","cellular",11,"aug",312,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
42,"blue-collar","married","secondary","no",1307,"yes","no","unknown",30,"may",135,3,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","1","2"
39,"blue-collar","single","secondary","no",369,"no","yes","cellular",20,"nov",224,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
37,"technician","married","secondary","yes",-143,"yes","no","cellular",4,"feb",95,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
50,"blue-collar","divorced","primary","no",171,"no","no","cellular",14,"aug",75,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
50,"management","married","tertiary","no",938,"no","no","cellular",30,"apr",780,1,-1,0,"unknown","yes","Not Contacted",NA,"50-60","0-1K","4","2"
34,"technician","single","secondary","no",2729,"yes","no","cellular",18,"nov",835,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","1K-5K","4","3"
28,"admin.","single","secondary","no",7,"yes","no","cellular",15,"may",87,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
31,"blue-collar","married","secondary","no",203,"yes","no","unknown",27,"may",426,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
36,"technician","married","tertiary","no",606,"yes","no","unknown",4,"jun",159,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
50,"admin.","single","primary","no",1367,"no","no","telephone",30,"jul",270,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
30,"management","single","tertiary","no",1435,"yes","no","cellular",17,"nov",104,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
27,"admin.","divorced","secondary","no",76,"yes","no","unknown",4,"jun",236,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
53,"technician","married","unknown","no",6859,"yes","no","unknown",20,"jun",32,27,-1,0,"unknown","no","Not Contacted",NA,"50-60","5K-10K","2","4"
50,"admin.","married","secondary","no",-779,"yes","yes","cellular",22,"jul",112,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
40,"management","married","tertiary","no",0,"yes","no","unknown",30,"may",138,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
34,"technician","married","secondary","no",4,"yes","no","cellular",2,"feb",105,2,263,1,"failure","no","Contacted",263,"30-40","0-1K","1","3"
30,"technician","single","secondary","no",458,"no","no","cellular",20,"nov",51,7,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","1"
33,"technician","single","secondary","no",105,"yes","no","unknown",5,"may",262,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
52,"services","married","secondary","no",1645,"no","no","cellular",28,"aug",248,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
54,"management","married","unknown","no",24,"no","no","cellular",31,"jul",12,10,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","2","1"
57,"retired","married","secondary","no",712,"yes","yes","unknown",19,"jun",824,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","4","2"
37,"management","married","tertiary","no",0,"no","no","unknown",16,"jun",637,6,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","4","3"
41,"blue-collar","married","primary","no",620,"no","no","cellular",28,"jan",314,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
50,"admin.","married","secondary","no",761,"no","yes","cellular",5,"feb",273,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
47,"management","married","unknown","no",641,"no","no","cellular",21,"nov",501,3,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
28,"management","married","secondary","no",292,"yes","no","unknown",28,"may",507,1,-1,0,"unknown","yes","Not Contacted",NA,"Under 30","0-1K","1","2"
41,"management","married","tertiary","no",666,"yes","no","cellular",20,"nov",106,3,183,3,"failure","no","Contacted",183,"40-50","0-1K","1","4"
48,"management","divorced","tertiary","no",17964,"yes","no","cellular",26,"may",208,2,96,3,"other","yes","Contacted",96,"40-50","10K+","5","4"
35,"services","married","secondary","no",2135,"no","no","unknown",11,"jun",436,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
35,"admin.","married","secondary","no",3487,"yes","no","cellular",17,"apr",323,2,319,1,"failure","no","Contacted",319,"30-40","1K-5K","1","3"
42,"management","married","tertiary","no",144,"no","no","cellular",4,"mar",148,1,87,4,"failure","yes","Contacted",87,"40-50","0-1K","1","4"
55,"technician","single","secondary","no",99,"yes","no","cellular",12,"may",300,1,370,3,"failure","no","Contacted",370,"50-60","0-1K","5","4"
39,"technician","single","secondary","no",1104,"no","no","cellular",7,"aug",395,2,-1,0,"unknown","yes","Not Contacted",NA,"30-40","1K-5K","1","2"
40,"unemployed","divorced","secondary","no",0,"no","no","unknown",11,"jun",473,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
40,"blue-collar","married","primary","no",328,"yes","no","cellular",13,"may",112,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
43,"blue-collar","married","primary","no",0,"yes","no","unknown",12,"may",3,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
52,"unemployed","married","secondary","no",-9,"no","no","unknown",9,"jun",123,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
47,"blue-collar","divorced","primary","no",223,"yes","no","telephone",7,"may",140,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
36,"entrepreneur","married","secondary","no",313,"yes","no","cellular",29,"jan",167,2,198,1,"failure","no","Contacted",198,"30-40","0-1K","1","3"
45,"housemaid","married","primary","no",1526,"yes","no","telephone",28,"jan",109,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","2"
57,"technician","married","secondary","no",197,"no","no","unknown",7,"may",32,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
28,"technician","married","secondary","no",1180,"yes","no","unknown",29,"may",637,3,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","4","2"
35,"management","single","tertiary","no",0,"no","no","cellular",18,"aug",276,5,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
35,"management","single","tertiary","no",431,"no","no","cellular",17,"aug",343,2,397,1,"failure","yes","Contacted",397,"30-40","0-1K","1","3"
29,"housemaid","married","secondary","no",823,"yes","no","unknown",23,"may",14,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
53,"housemaid","married","primary","no",-286,"yes","no","cellular",9,"jul",126,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
30,"technician","single","secondary","no",2782,"no","no","cellular",14,"aug",205,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
35,"services","single","secondary","no",-2,"no","no","unknown",6,"jun",15,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
29,"technician","single","secondary","no",281,"yes","no","cellular",7,"may",340,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
45,"blue-collar","married","secondary","no",3,"no","yes","telephone",30,"jul",154,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
28,"blue-collar","married","secondary","no",379,"no","yes","cellular",17,"jul",164,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
40,"admin.","married","primary","no",0,"yes","no","unknown",17,"jun",77,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
26,"technician","single","tertiary","no",777,"yes","no","cellular",14,"aug",260,2,463,1,"failure","no","Contacted",463,"Under 30","0-1K","1","3"
33,"blue-collar","single","tertiary","no",350,"yes","no","cellular",6,"feb",148,7,227,5,"failure","no","Contacted",227,"30-40","0-1K","3","4"
40,"technician","single","tertiary","no",1646,"yes","no","cellular",2,"feb",215,1,242,2,"failure","yes","Contacted",242,"40-50","1K-5K","1","3"
56,"retired","married","secondary","no",1454,"no","no","telephone",30,"jan",479,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
31,"technician","single","secondary","no",754,"no","no","cellular",7,"aug",145,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
34,"services","divorced","secondary","no",5934,"yes","no","cellular",29,"jul",82,7,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
26,"services","single","tertiary","no",12,"no","no","cellular",14,"jun",563,1,181,10,"failure","yes","Contacted",181,"Under 30","0-1K","3","4"
58,"management","divorced","tertiary","no",577,"no","no","unknown",15,"may",1244,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","4","3"
27,"management","single","unknown","no",1029,"yes","no","unknown",6,"jun",71,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","1","2"
52,"unemployed","married","primary","no",959,"no","no","telephone",30,"jul",694,2,-1,0,"unknown","yes","Not Contacted",NA,"50-60","0-1K","4","2"
50,"self-employed","married","secondary","no",306,"no","no","unknown",19,"jun",37,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
38,"technician","single","secondary","no",1711,"no","no","telephone",30,"sep",234,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","1K-5K","1","2"
31,"housemaid","single","primary","no",26965,"no","no","cellular",21,"apr",654,2,-1,0,"unknown","yes","Not Contacted",NA,"30-40","10K+","4","4"
32,"entrepreneur","married","tertiary","no",0,"yes","no","cellular",7,"may",388,2,349,2,"failure","no","Contacted",349,"30-40","0-1K","1","3"
35,"technician","married","secondary","no",0,"no","no","cellular",27,"aug",18,14,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","2","1"
43,"entrepreneur","divorced","tertiary","no",1756,"no","no","unknown",17,"jun",89,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","2"
48,"blue-collar","married","primary","no",683,"yes","no","cellular",9,"feb",144,5,209,12,"failure","no","Contacted",209,"40-50","0-1K","3","4"
29,"management","single","tertiary","no",1445,"no","no","cellular",26,"apr",328,2,143,2,"success","yes","Contacted",143,"Under 30","1K-5K","1","3"
32,"management","married","tertiary","no",3107,"yes","yes","cellular",25,"jul",310,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
41,"admin.","married","tertiary","no",1536,"no","no","cellular",4,"may",54,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","1","2"
42,"blue-collar","married","primary","no",0,"no","no","unknown",20,"jun",19,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
52,"retired","married","secondary","no",424,"no","no","unknown",18,"jun",89,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
44,"blue-collar","married","primary","no",658,"yes","no","telephone",24,"jul",236,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
40,"housemaid","married","secondary","no",4610,"no","no","cellular",14,"aug",154,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","1","1"
50,"technician","divorced","secondary","no",-403,"no","yes","cellular",17,"nov",130,2,119,2,"failure","no","Contacted",119,"50-60","Negative","5","3"
36,"entrepreneur","married","secondary","no",35,"no","no","cellular",4,"feb",517,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
34,"management","married","tertiary","no",303,"yes","no","cellular",29,"jan",50,1,195,2,"failure","no","Contacted",195,"30-40","0-1K","1","3"
33,"blue-collar","divorced","secondary","no",3546,"yes","no","unknown",23,"may",777,2,-1,0,"unknown","yes","Not Contacted",NA,"30-40","1K-5K","4","3"
54,"technician","married","secondary","no",-939,"yes","no","unknown",29,"may",202,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
59,"management","married","tertiary","no",101,"no","yes","unknown",9,"jun",29,1,686,2,"failure","no","Contacted",686,"50-60","0-1K","5","3"
58,"retired","married","primary","no",928,"no","no","cellular",26,"may",304,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
58,"unemployed","married","secondary","no",687,"yes","no","cellular",30,"apr",341,2,-1,0,"unknown","yes","Not Contacted",NA,"50-60","0-1K","5","2"
49,"blue-collar","married","secondary","no",598,"yes","no","cellular",15,"may",219,6,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","1"
52,"blue-collar","married","primary","no",134,"yes","no","cellular",15,"may",81,2,295,3,"failure","no","Contacted",295,"50-60","0-1K","5","4"
34,"management","married","tertiary","no",1388,"yes","no","cellular",1,"sep",222,1,93,4,"failure","no","Contacted",93,"30-40","1K-5K","1","4"
27,"unemployed","single","secondary","no",92,"yes","no","cellular",30,"jan",274,4,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
40,"blue-collar","single","unknown","no",29,"no","no","telephone",7,"jul",118,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
41,"technician","married","secondary","no",712,"no","no","cellular",19,"aug",409,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
33,"blue-collar","married","primary","no",3512,"yes","no","unknown",20,"may",697,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","4","3"
42,"management","single","tertiary","no",515,"yes","no","cellular",19,"nov",501,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
47,"technician","married","secondary","no",80,"no","yes","unknown",25,"jun",100,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
56,"entrepreneur","divorced","tertiary","no",386,"no","no","cellular",21,"nov",65,4,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
25,"admin.","single","secondary","no",1235,"yes","yes","cellular",14,"may",64,1,349,3,"failure","no","Contacted",349,"Under 30","1K-5K","1","4"
58,"management","divorced","tertiary","no",347,"no","no","unknown",15,"may",525,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
42,"technician","married","secondary","no",649,"yes","no","telephone",31,"jul",29,4,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
37,"management","single","secondary","no",45,"no","no","cellular",29,"aug",99,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
27,"services","single","secondary","no",4,"yes","yes","unknown",9,"may",490,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
33,"unknown","married","tertiary","no",0,"yes","no","unknown",20,"jun",27,16,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","2","1"
34,"management","single","tertiary","yes",621,"no","no","cellular",28,"aug",205,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
50,"management","married","tertiary","no",2488,"yes","no","unknown",29,"may",91,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
58,"blue-collar","married","secondary","no",6004,"yes","no","cellular",13,"may",133,1,274,6,"failure","no","Contacted",274,"50-60","5K-10K","3","4"
66,"management","married","unknown","no",2149,"yes","no","cellular",26,"may",135,2,90,11,"success","yes","Contacted",90,"60+","1K-5K","3","4"
30,"admin.","single","secondary","no",2568,"no","no","cellular",4,"sep",563,1,100,4,"other","yes","Contacted",100,"30-40","1K-5K","1","4"
47,"blue-collar","married","secondary","no",4840,"no","no","unknown",16,"jun",53,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
35,"blue-collar","married","secondary","no",280,"yes","yes","cellular",31,"jul",65,50,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","2","4"
29,"blue-collar","married","secondary","yes",-643,"yes","no","cellular",18,"jul",277,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","Negative","1","2"
48,"technician","married","secondary","no",1152,"yes","no","cellular",21,"jul",168,5,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
40,"blue-collar","divorced","secondary","no",178,"yes","no","cellular",15,"may",188,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
31,"blue-collar","married","secondary","no",41,"yes","no","unknown",19,"may",265,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
37,"management","married","tertiary","no",489,"yes","no","cellular",21,"nov",202,1,106,5,"failure","no","Contacted",106,"30-40","0-1K","3","4"
53,"entrepreneur","divorced","tertiary","no",81,"yes","no","cellular",6,"may",178,5,352,3,"failure","no","Contacted",352,"50-60","0-1K","5","4"
32,"management","married","tertiary","no",250,"yes","no","cellular",1,"apr",247,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
35,"self-employed","single","tertiary","no",1129,"yes","no","cellular",21,"nov",64,2,184,2,"failure","no","Contacted",184,"30-40","1K-5K","1","3"
31,"blue-collar","single","secondary","no",-571,"yes","no","cellular",28,"jul",68,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
48,"technician","married","secondary","no",98,"no","no","cellular",27,"aug",146,4,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
33,"services","divorced","secondary","no",2,"yes","no","unknown",16,"may",165,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
38,"entrepreneur","married","secondary","no",-272,"no","yes","unknown",17,"jun",143,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
59,"management","married","tertiary","no",287,"yes","no","cellular",20,"apr",818,2,242,8,"failure","no","Contacted",242,"50-60","0-1K","3","4"
45,"admin.","divorced","secondary","no",8032,"no","no","cellular",20,"nov",73,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","5K-10K","5","1"
54,"management","divorced","primary","no",0,"no","no","unknown",6,"may",472,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
39,"blue-collar","married","primary","no",394,"yes","no","cellular",17,"apr",981,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","4","3"
40,"blue-collar","married","unknown","no",87,"yes","no","cellular",13,"may",477,3,-1,0,"unknown","yes","Not Contacted",NA,"40-50","0-1K","1","2"
36,"entrepreneur","single","primary","no",5,"no","no","cellular",12,"may",396,1,172,3,"failure","no","Contacted",172,"30-40","0-1K","1","4"
25,"admin.","single","secondary","no",768,"yes","no","unknown",13,"may",203,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
31,"management","single","tertiary","no",725,"yes","no","cellular",28,"jul",211,1,92,2,"failure","no","Contacted",92,"30-40","0-1K","1","3"
43,"blue-collar","married","unknown","no",24,"yes","no","unknown",13,"may",23,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
33,"technician","married","secondary","no",1844,"yes","yes","cellular",18,"may",380,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
54,"management","married","tertiary","no",1331,"no","no","cellular",25,"aug",240,9,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
72,"retired","married","secondary","no",1129,"no","no","cellular",25,"nov",208,1,91,1,"success","yes","Contacted",91,"60+","1K-5K","5","3"
43,"management","single","tertiary","no",778,"yes","no","cellular",25,"aug",230,5,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","1"
56,"technician","married","secondary","no",359,"yes","no","unknown",6,"jun",220,4,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
37,"services","married","secondary","no",0,"yes","no","cellular",22,"jul",272,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
43,"blue-collar","married","primary","yes",-635,"yes","no","unknown",20,"may",37,9,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","2","1"
26,"self-employed","single","secondary","no",467,"yes","yes","unknown",4,"jun",90,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
31,"services","single","secondary","no",205,"yes","no","cellular",15,"apr",465,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
41,"blue-collar","married","primary","no",-252,"yes","no","unknown",29,"may",166,5,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","1","1"
54,"blue-collar","married","secondary","no",0,"no","no","telephone",16,"apr",1366,1,150,1,"failure","no","Contacted",150,"50-60","0-1K","4","3"
36,"blue-collar","married","primary","no",946,"yes","no","unknown",18,"jun",255,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
43,"blue-collar","married","unknown","no",285,"yes","no","cellular",15,"may",22,6,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","1"
36,"management","married","secondary","no",2637,"no","no","unknown",4,"jul",219,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
55,"entrepreneur","divorced","primary","no",29,"no","no","unknown",16,"jun",500,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
52,"technician","married","primary","no",-50,"yes","no","cellular",15,"may",129,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
33,"services","married","secondary","no",1076,"no","no","cellular",11,"nov",131,1,96,5,"failure","yes","Contacted",96,"30-40","1K-5K","3","4"
22,"services","single","secondary","no",3,"yes","no","cellular",6,"may",156,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
42,"blue-collar","single","primary","no",177,"yes","no","cellular",14,"may",174,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
58,"technician","married","secondary","no",86,"no","no","cellular",30,"jul",95,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
52,"services","married","primary","no",821,"yes","yes","cellular",8,"apr",426,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
42,"blue-collar","single","secondary","no",24,"no","no","unknown",14,"may",229,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
34,"management","married","tertiary","no",3301,"yes","no","cellular",17,"sep",164,5,92,6,"success","yes","Contacted",92,"30-40","1K-5K","3","4"
52,"management","single","tertiary","no",638,"yes","yes","cellular",20,"nov",77,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
37,"management","married","tertiary","no",238,"no","no","cellular",3,"nov",149,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","1","2"
38,"services","married","secondary","no",1616,"yes","no","telephone",12,"may",168,5,288,3,"failure","no","Contacted",288,"30-40","1K-5K","1","4"
59,"retired","divorced","primary","no",-88,"yes","no","unknown",5,"jun",910,2,-1,0,"unknown","yes","Not Contacted",NA,"50-60","Negative","4","3"
42,"technician","married","secondary","no",-887,"no","no","unknown",2,"jun",349,4,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","1","2"
45,"blue-collar","married","primary","no",942,"no","yes","cellular",9,"jul",295,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
35,"entrepreneur","married","secondary","no",2971,"no","no","cellular",21,"nov",112,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
53,"retired","divorced","tertiary","no",-309,"yes","no","cellular",21,"aug",343,2,428,2,"success","yes","Contacted",428,"50-60","Negative","5","3"
40,"admin.","married","secondary","no",3126,"yes","no","cellular",30,"mar",186,2,90,5,"failure","no","Contacted",90,"40-50","1K-5K","3","4"
46,"blue-collar","married","secondary","no",2836,"yes","no","cellular",14,"may",13,7,358,7,"other","no","Contacted",358,"40-50","1K-5K","3","4"
60,"housemaid","divorced","tertiary","no",662,"no","no","unknown",20,"jun",241,4,-1,0,"unknown","no","Not Contacted",NA,"60+","0-1K","5","2"
36,"self-employed","single","tertiary","no",258,"no","no","cellular",5,"feb",230,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
46,"management","married","tertiary","no",810,"yes","yes","cellular",15,"may",33,2,176,1,"other","no","Contacted",176,"40-50","0-1K","5","3"
58,"self-employed","married","primary","no",1013,"yes","no","cellular",11,"aug",206,1,461,1,"failure","yes","Contacted",461,"50-60","1K-5K","5","3"
46,"housemaid","married","primary","no",1676,"no","no","unknown",6,"jun",56,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","2"
